CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CD_CONTA;DS_CONTA;VL_CONTA
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.01;Receitas;277936800
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.01.01;Intermediação Financeira;266644092
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.01.02;Prestação de Serviços;36645892
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.01.03;Provisão/Reversão Perdas Esperadas de Risco de Crédito;-25353184
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.01.04;Outras;0
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.02;Despesas de Intermediação Financeira;-176689874
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.03;Insumos Adquiridos de Terceiros;-26425083
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.03.01;Materiais, Energia e Outros;-6967965
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.03.02;Serviços de Terceiros;-1022797
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.03.03;Perda/Recuperação de Valores Ativos;0
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.03.04;Outros;-18434321
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.03.04.01;Atualização de obrigações atuariais;-1292032
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.03.04.02;Prêmios pagos a clientes;-1313975
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.03.04.03;Atualização de depósitos em garantia;0
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.03.04.04;Falhas em serviço e perdas operacionais;-369683
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.03.04.05;Despesas de obrigações por operações vinculadas à cessão;-16285
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.03.04.06;Outras;-15442346
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.04;Valor Adicionado Bruto;74821843
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.05;Retenções;-5192367
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.05.01;Depreciação, Amortização e Exaustão;-5192367
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.05.02;Outras;0
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.06;Valor Adicionado Líquido Produzido;69629476
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.07;Vlr Adicionado Recebido em Transferência;7094163
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.07.01;Resultado de Equivalência Patrimonial;7094163
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.07.02;Outros;0
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.08;Valor Adicionado Total a Distribuir;76723639
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09;Distribuição do Valor Adicionado;76723639
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.01;Pessoal;27452532
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.01.01;Remuneração Direta;18165766
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.01.02;Benefícios;4907414
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.01.03;F.G.T.S.;866397
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.01.04;Outros;3512955
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.02;Impostos, Taxas e Contribuições;15957644
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.02.01;Federais;12990259
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.02.02;Estaduais;749
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.02.03;Municipais;2966636
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.03;Remuneração de Capitais de Terceiros;147872
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.03.01;Aluguéis;147872
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.03.02;Outras;0
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.04;Remuneração de Capitais Próprios;33165591
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.04.01;Juros sobre o Capital Próprio;11346847
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.04.02;Dividendos;1890786
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.04.03;Lucros Retidos / Prejuízo do Período;16623332
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.04.04;Participação de Não Controladores nos Lucros Retidos;3304626
00.000.000/0001-91;2023;1;BCO BRASIL S.A.;1023;7.09.05;Outros;0
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.01;Receitas;45139426
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.01.01;Vendas de Mercadorias, Produtos e Serviços;41502170
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.01.02;Outras Receitas;3637256
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.01.02.01;Receita de Construção;2960792
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.01.02.02;PECLD - Consumidores e Revendedores;-466598
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.01.02.03;Outras receitas e despesas operacionais;1143062
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.01.03;Receitas refs. à Construção de Ativos Próprios;0
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.01.04;Provisão/Reversão de Créds. Liquidação Duvidosa;0
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.02;Insumos Adquiridos de Terceiros;-17557237
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.02.01;Custos Prods., Mercs. e Servs. Vendidos;0
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.02.02;Materiais, Energia, Servs. de Terceiros e Outros;-3983694
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.02.03;Perda/Recuperação de Valores Ativos;0
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.02.04;Outros;-13573543
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.02.04.01;Encargos setoriais;-3482126
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.02.04.02;Energia comprada para revenda;-3028226
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.02.04.03;Combustível para produção de energia elétrica;-2042867
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.02.04.04;Provisões Operacionias;-1729192
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.02.04.05;Custo de construção;-3291132
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.03;Valor Adicionado Bruto;27582189
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.04;Retenções;-3621342
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.04.01;Depreciação, Amortização e Exaustão;-3621342
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.04.02;Outras;0
00.001.180/0001-26;2023;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2437;7.05;Valor Adicionado Líquido Produzido;23960847
