CNPJ_CIA,DENOM_CIA,CD_CVM,CD_CONTA,DS_CONTA,ANO,SETOR_ATIV,MUN,UF,VL_CONTA,VL_INPC,VL_IGPM,VL_IGPDI,VL_IPCA,VL_INDICE_MEDIO
00.000.000/0001-91,BCO BRASIL S.A.,1023,1,Receitas,2009,,,,82669053,,,,,
00.000.000/0001-91,BCO BRASIL S.A.,1023,2,Valor Adicionado Bruto,2009,,,,40717287,,,,,
00.000.000/0001-91,BCO BRASIL S.A.,1023,3,Valor Adicionado Líquido Produzido,2009,,,,37543871,,,,,
00.000.000/0001-91,BCO BRASIL S.A.,1023,4,Valor Adicionado Total a Distribuir,2009,,,,36549422,,,,,
00.000.000/0001-91,BCO BRASIL S.A.,1023,5,Distribuição do Valor Adicionado,2009,,,,36549422,,,,,
00.000.000/0001-91,BCO BRASIL S.A.,1023,5.1,Pessoal,2009,,,,11799456,,,,,
00.000.000/0001-91,BCO BRASIL S.A.,1023,5.2,"Impostos, Taxas e Contribuições",2009,,,,10755978,,,,,
00.000.000/0001-91,BCO BRASIL S.A.,1023,5.3,Remuneração de Capitais de Terceiros,2009,,,,509728,,,,,
00.000.000/0001-91,BCO BRASIL S.A.,1023,5.4,Remuneração de Capitais Próprios,2009,,,,13484260,,,,,
00.000.000/0001-91,BCO BRASIL S.A.,1023,5.5,Outros,2009,,,,0,,,,,
00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,1,Receitas,2009,,,,27037574,,,,,
00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,2,Valor Adicionado Bruto,2009,,,,13812557,,,,,
00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,3,Valor Adicionado Líquido Produzido,2009,,,,10047905,,,,,
00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,4,Valor Adicionado Total a Distribuir,2009,,,,15440138,,,,,
00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,5,Distribuição do Valor Adicionado,2009,,,,15440138,,,,,
00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,5.1,Pessoal,2009,,,,4750400,,,,,
00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,5.2,"Impostos, Taxas e Contribuições",2009,,,,1742321,,,,,
00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,5.3,Remuneração de Capitais de Terceiros,2009,,,,7697277,,,,,
00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,5.4,Remuneração de Capitais Próprios,2009,,,,1250140,,,,,
00.001.180/0001-26,CENTRAIS ELET BRAS S.A. - ELETROBRAS,2437,5.5,Outros,2009,,,,0,,,,,
