CNPJ_CIA,ANO,VERSAO,DENOM_CIA,CD_CVM,ESCALA_MOEDA,CD_CONTA,DS_CONTA,VL_CONTA
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.01,Receitas,82669053
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.01.01,Intermediação Financeira,65729138
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.01.02,Prestação de Serviços,13506941
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.01.03,Provisão/Reversão de Créds. Liquidação Duvidosa,-7938078
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.01.04,Outras,11371052
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.02,Despesas de Intermediação Financeira,-35100018
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03,Insumos Adquiridos de Terceiros,-6851748
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03.01,"Materiais, Energia e Outros",-421965
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03.02,Serviços de Terceiros,-960148
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03.03,Perda/Recuperação de Valores Ativos,0
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03.04,Outros,-5469635
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03.04.01,Comunicações,-1107054
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03.04.02,Processamento de Dados,-969344
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03.04.03,Transporte,-637815
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03.04.04,Serviço de Vigilância e Segurança,-641906
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03.04.05,Serviço de Sistema Financeiro,-706601
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03.04.06,Propaganda e Publicidade,-336254
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.03.04.07,Outras,-1070661
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.04,Valor Adicionado Bruto,40717287
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.05,Retenções,-3173416
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.05.01,"Depreciação, Amortização e Exaustão",-3173416
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.05.02,Outras,0
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.06,Valor Adicionado Líquido Produzido,37543871
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.07,Vlr Adicionado Recebido em Transferência,-994449
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.07.01,Resultado de Equivalência Patrimonial,-994449
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.07.02,Outros,0
00.000.000/0001-91,2009,3,BCO BRASIL S.A.,1023,MIL,7.08,Valor Adicionado Total a Distribuir,36549422
