CNPJ_CIA,DENOM_CIA,CD_CVM,CD_CONTA,DS_CONTA,ANO,VL_CONTA,SETOR_ATIV,MUN,UF
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,1,Receitas,2023,5619989,Petróleo e Gás,RIO DE JANEIRO,RJ
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,2,Valor Adicionado Bruto,2023,2231945,Petróleo e Gás,RIO DE JANEIRO,RJ
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,3,Valor Adicionado Líquido Produzido,2023,1611845,Petróleo e Gás,RIO DE JANEIRO,RJ
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,4,Valor Adicionado Total a Distribuir,2023,2261900,Petróleo e Gás,RIO DE JANEIRO,RJ
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,5,Distribuição do Valor Adicionado,2023,2261900,Petróleo e Gás,RIO DE JANEIRO,RJ
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,5.1,Pessoal,2023,249236,Petróleo e Gás,RIO DE JANEIRO,RJ
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,5.2,"Impostos, Taxas e Contribuições",2023,224897,Petróleo e Gás,RIO DE JANEIRO,RJ
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,5.3,Remuneração de Capitais de Terceiros,2023,1362552,Petróleo e Gás,RIO DE JANEIRO,RJ
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,5.4,Remuneração de Capitais Próprios,2023,425215,Petróleo e Gás,RIO DE JANEIRO,RJ
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,1,Receitas,2023,9742912,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,2,Valor Adicionado Bruto,2023,4980694,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP
