ANO,GRUPO,Distribuição,Governo,Outros,Pessoal,RCP,RCT,Receitas,VAB,VALP,VATD
2010,Primário,915305.95,429994.35,10535.48,287874.56,1837.35,185064.2,3047504.03,848906.97,650687.32,915305.95
2010,Primário,127286328.38,26843804.13,0,15352751.04,74180585.14,10909188.07,271225036.45,139584128.64,124881292.24,127286328.38
2010,Secundário,57424380.57,12535607.22,220202.35,26282280.53,1350034.6,17036255.87,219056523.02,56511062.55,50896244.86,57424380.57
2010,Secundário,70357290.87,41143962.17,0,8781214.91,18014758.44,2417355.35,104206687.52,71997912.47,68897103.33,70357290.87
2010,Secundário,1106549.62,447144.31,0,153702.07,240738.99,264964.25,2050782.47,1152100.1,1083814.11,1106549.62
2010,Secundário,37501503.16,10498642.92,2907.98,7238108.17,13481231.27,6280612.82,102587375.66,35544935.87,33501855.29,37501503.16
2010,Secundário,2473663.78,854828.22,7583.8,763824.6,369836.42,477590.74,7299745.86,2360117.32,2144207.42,2473663.78
2010,Secundário,225846379.68,117853045.65,4114746.21,26798112.63,39064006.5,38016468.7,403734366.92,225168757.76,203004101.06,225846379.68
2010,Secundário,37414940.35,11344823.95,35751.92,13414341.65,6962118.95,5657903.88,96201644.95,34264051.76,31866332.16,37414940.35
2010,Secundário,87890762.57,24842693.56,6497082.59,25395846.73,14504984.84,16650154.85,264297598.14,96685109.44,83710539.52,87890762.57
2010,Secundário,21559706.57,3312480.2,0,4238373.28,5303933.04,8704920.05,52417587.82,21527857.78,14812134.1,21559706.57
2010,Secundário,323491681.21,182065515.31,0,39265030.85,72658181.84,29502953.21,766595887.58,341309826.94,310867555.05,323491681.21
2010,Secundário,20236500.2,5792506.19,0,3332846.03,5899926.81,5211221.17,92658463.92,21028145.31,16535847.78,20236500.2
2010,Secundário,20523585.96,6339929.18,386428.22,8798344.67,2689362.95,2309520.95,53114267.91,20817017.64,19144793.12,20523585.96
2010,Sem Setor Principal,10628663.47,2508287.69,65604.45,2069589.02,2973997.69,3011184.62,13703069.79,5122188.32,4054958.06,10628663.47
2010,Terciário,149.11,28.6,0,6.8,87.55,26.16,194.63,99.62,99.58,149.11
2010,Terciário,239046195.37,71728328.02,0,82301699.52,79732543.02,5283624.82,629684278,262068196.97,237330266.11,239046195.37
2010,Terciário,6984813.54,1529846.07,805481.87,1319638.93,556718.11,2773128.56,15548573.19,5526463.36,4878632.38,6984813.54
2010,Terciário,45804852.75,15469428.67,10895.01,12017049.42,6923922.42,11383557.24,169054065.99,43782509.2,41567287.52,45804852.75
2010,Terciário,10562611.79,2992062.6,22652.09,5579081.08,1168018.55,800797.48,21060548.28,10887924.39,10284890.3,10562611.79
2010,Terciário,617493.79,176022.44,0,127573.91,267713.33,46184.11,940881.91,573514.5,568099.77,617493.79
2010,Terciário,4460256.62,592556.58,0,2564783.43,509053.01,793863.6,5795740.34,4392075.23,4138431.69,4460256.62
2010,Terciário,9806168.16,4041730.77,0,2684323.8,1984772.81,1095340.77,24105531.66,9670142.42,9337547.67,9806168.16
2010,Terciário,1343451.03,406907.26,0,500983.73,203237.12,232322.92,2749203.24,1357045.46,1266613.9,1343451.03
2010,Terciário,212012.72,55144.44,369.46,123879.34,-49445.67,82065.15,501531.96,217445.32,173652.75,212012.72
2010,Terciário,36393461.85,12801525.12,42600.78,9741950.17,13092720.82,714664.96,99596700.05,37752652.55,34463219.71,36393461.85
2010,Terciário,14785177.5,4278045.82,0,3843891.37,4592602.51,2070637.8,25174026.89,15635913.69,13868636.22,14785177.5
2010,Terciário,83993.96,19967.56,0,16651.39,35898.48,11476.54,140111.39,61496.72,61155.99,83993.96
2010,Terciário,11576860.49,3883305.22,0,2748013.43,4480405.38,465136.47,35100062.32,8386303.09,7803425.04,11576860.49
2010,Terciário,7728008.13,1774426.62,11399.54,3126947.23,1206865.15,1608369.59,23921430.83,7288912.43,6778732,7728008.13
2010,Terciário,50284439.83,11622890.97,473697.54,11884589.53,7270158.2,19033103.59,96651635.03,47854249.63,41193406.87,50284439.83
2010,Terciário,278760492.22,153378374.29,1226146.44,33400635.47,34333228.75,56422107.26,575972895.37,353509035.87,254156316.5,278760492.22
2011,Primário,14121955.86,5906959.04,6008.31,2805802.41,2507507.57,2895678.53,62223603.66,13837271.25,11892496.86,14121955.86
2011,Primário,146767158.89,25849803.45,0,15294999.18,85769531.8,19852824.44,266994635.22,137162328.36,123945581.01,146767158.89
2011,Secundário,61811552.67,12161013.59,277103.23,27114598.62,2665838.4,19592998.83,238872812.06,57995312.33,52057448.62,61811552.67
2011,Secundário,70356529.93,42304667.3,0,6117957.82,19287451.42,2646453.39,104699830.89,71890577.93,68962505.74,70356529.93
2011,Secundário,739606.43,403507.46,0,133017.85,33906.95,169174.17,1778662.29,719887.01,656418.67,739606.43
2011,Secundário,30711813.8,9479811.62,1886.94,7221318.1,5998866.2,8009930.94,98235360.39,28167709.15,26080490.78,30711813.8
2011,Secundário,1279823.41,332250.37,9810.2,277407.76,197698.68,462656.39,3041695.69,1187236.45,1027836.99,1279823.41
2011,Secundário,234349205.75,121705375.81,1264673.73,27095262.19,42688804.69,41595089.32,402745400.21,224444109.37,205621333.93,234349205.75
2011,Secundário,35835126.41,10031947.11,7998,14398707.86,4666367.11,6730106.33,97669946.32,32609306.77,30080999.92,35835126.41
2011,Secundário,96576128.21,20113807.7,5360858.93,27223891.13,15879018.58,27998551.87,269022640.59,92325161.64,79921524.69,96576128.21
2011,Secundário,19461412.49,602373.71,0,4251967.63,-1161915.4,15768986.56,47272920.29,18520192.44,11613230.54,19461412.49
2011,Secundário,345994862.84,197605911.52,172135.36,40897539.16,61891538.25,45427738.55,809419877.73,364648049.36,329976105.63,345994862.84
2011,Secundário,13185710.04,3391029.38,5077.92,2460933.86,-1155690.98,8484359.88,92490683.59,14833028.44,11149122.16,13185710.04
2011,Secundário,18971808.66,6884509.23,460937.6,8910724.14,-498933.18,3214570.88,50014195.16,18475831.39,16835988.52,18971808.66
2011,Sem Setor Principal,9362630.75,1692948.46,45643.33,1704561.71,2094947.61,3824529.64,12559164.77,5622955.84,4922920.91,9362630.75
2011,Terciário,15441.12,3327.36,0,14344.46,-43093.16,40862.46,26071.49,5582.34,3693.54,15441.12
2011,Terciário,244881062.25,55794790.72,9054990.17,90106275.31,84070746.74,5854259.32,769774980.74,262088343.14,243027441.86,244881062.25
2011,Terciário,3461483.12,1466389.16,673135.81,1160537.23,-1584216.23,1745637.15,8561998.92,2375038.99,1741115.98,3461483.12
2011,Terciário,58943246.89,15868658.77,0,21047069.36,4034630.13,17992888.64,225271882.5,55555905.41,52519702.15,58943246.89
2011,Terciário,9217747.9,2307146.48,26510.53,5779997.14,281399.01,822694.74,17212191.38,9488954.29,8865379.93,9217747.9
2011,Terciário,522139.75,156649.4,2484.78,159984.23,156881.06,46140.28,844944.22,509101.2,502334.38,522139.75
2011,Terciário,4816958.49,750612.13,0,2833587.64,318390.85,914367.86,6338335.68,4781609.79,4455651.7,4816958.49
2011,Terciário,10764865.19,3826411.12,0,3037325.84,1457303.84,2443824.38,26713054.7,10478650.48,9969906.12,10764865.19
2011,Terciário,1824739.04,525397.98,0,632916.03,288118.46,378306.58,3356130.38,1829374.18,1719877.66,1824739.04
2011,Terciário,211327.6,55638.49,-6253.05,130293.93,-67860.61,99508.84,623619.59,303043.95,247371.83,211327.6
2011,Terciário,32527124.13,9968097.65,0,7158349.48,14263849.78,1136827.21,103571616.33,34784104.38,31496905.12,32527124.13
2011,Terciário,14390681.84,3755680.88,0,4499907.5,3192917.81,2942175.65,26533655.57,15429378.99,13374939.93,14390681.84
2011,Terciário,52042.1,11900.78,0,19596.12,20545.19,0,73366.35,41028.74,40709.26,52042.1
2011,Terciário,12493271.43,3884089.74,0,3202965.28,4831787.96,574428.45,37920161.87,8471706.19,7808188.16,12493271.43
2011,Terciário,8826108.45,2388796.82,5348.81,3558137.26,1125580.32,1748245.24,27487961.8,8696165.75,8068342.58,8826108.45
2011,Terciário,62587422.07,16223637.72,-1250773.92,15258371.95,6431892.04,25924294.28,143211368.63,60365128.97,51885437.66,62587422.07
2011,Terciário,212825654.01,118573902.15,1136122.88,25872280.42,20009991.07,47233357.48,424423572.75,257113299.41,190078662.23,212825654.01
2012,Primário,16562226.72,4443563.53,6455.54,2630139.3,4956169.38,4525898.97,59132290.34,16566694.9,13586646.9,16562226.72
2012,Primário,64633570.85,9250523.3,0,17130866.07,17818180.07,20434001.42,229051678.31,69774844.76,54725736.29,64633570.85
2012,Secundário,60379179.54,12066950.87,322276.98,28194416.36,2351874.07,17443661.25,264076635.43,59935539.38,53367570.65,60379179.54
2012,Secundário,76677280.35,45483904.65,0,6323092.88,21716127.03,3154155.79,114882188.93,78873031.7,75546570.13,76677280.35
2012,Secundário,454177.26,287695.98,0,141330.82,-88419.04,113569.51,1889577.88,527663,459595.18,454177.26
