SETOR_ATIV,Cont.Núm - SETOR_ATIV,,,,PERC,Cont.Núm - PERC,,,,,,,,
Agricultura (Açúcar Álcool e Cana),148,,,,Total Resultado,4749,,,,,,,FCT,HIST
Alimentos,192,,,,0.536441358291752,2,,,0.05,29,29,,"0,05",29
Arrendamento Mercantil,3,,,,0.00402869135881889,1,,,0.1,96,67,,"0,1",67
Bancos,247,,,,0.0042358853339898,1,,,0.15,243,147,,"0,15",147
Bebidas e Fumo,24,,,,0.00573250732978779,1,,,0.2,468,225,,"0,2",225
Bolsas de Valores/Mercadorias e Futuros,19,,,,0.00724415298490509,1,,,0.25,812,344,,"0,25",344
Brinquedos e Lazer,57,,,,0.00747425587021209,1,,,0.3,1219,407,,"0,3",407
Comércio (Atacado e Varejo),432,,,,0.014737158390415,1,,,0.35,1637,418,,"0,35",418
Comunicação e Informática,171,,,,0.0182908712768328,1,,,0.4,2058,421,,"0,4",421
Construção Civil Mat. Constr. e Decoração,558,,,,0.0187735632819848,1,,,0.45,2540,482,,"0,45",482
Crédito Imobiliário,21,,,,0.0208610024530483,1,,,0.5,3042,502,,"0,5",502
Educação,93,,,,0.0215012298061589,1,,,0.55,3466,424,,"0,55",424
Embalagens,26,,,,0.0244288146289564,1,,,0.6,3783,317,,"0,6",317
Energia Elétrica,527,,,,0.0266171305040412,1,,,0.65,4020,237,,"0,65",237
Extração Mineral,47,,,,0.0295704760427973,1,,,0.7,4177,157,,"0,7",157
Farmacêutico e Higiene,76,,,,0.0305028978938405,1,,,0.75,4304,127,,"0,75",127
Gráficas e Editoras,25,,,,0.0308717460254938,1,,,0.8,4455,151,,"0,8",151
Hospedagem e Turismo,31,,,,0.0330124674438056,1,,,0.85,4568,113,,"0,85",113
Intermediação Financeira,74,,,,0.0339085739204409,1,,,0.9,4649,81,,"0,9",81
Máquinas Equipamentos Veículos e Peças,311,,,,0.0354145783420138,1,,,0.95,4708,59,,"0,95",59
Metalurgia e Siderurgia,257,,,,0.0440560251548657,1,,,1,4749,41,,1.0,41
Papel e Celulose,82,,,,0.0442665300665715,1,,,,,,,,
Petróleo e Gás,95,,,,0.044501862361784,1,,,,,,,,
Petroquímicos e Borracha,107,,,,0.0457950844032512,1,,,,,,,,
Saneamento Serv. Água e Gás,77,,,,0.0459770114942529,1,,,,,,,,
Securitização de Recebíveis,21,,,,0.0476986093235627,1,,,,,,,,
Seguradoras e Corretoras,93,,,,0.0480738017457259,1,,,,,,,,
Sem Setor Principal,151,,,,0.0482191830747223,1,,,,,,,,
Serviços Médicos,127,,,,0.0483350060169044,1,,,,,,,,
Serviços Transporte e Logística,392,,,,0.0483685261752148,1,,,,,,,,
Telecomunicações,175,,,,0.0491719621627632,1,,,,,,,,
Têxtil e Vestuário,334,,,,0.0529555231778104,1,,,,,,,,
Total Resultado,4993,,,,0.0552135699873465,1,,,,,,,,
,,,,,0.0568314402696687,1,,,,,,,,
,,,,,0.0568751436133546,1,,,,,,,,
,,,,,0.061006128841383,1,,,,,,,,
,,,,,0.0620107724643654,1,,,,,,,,
,,,,,0.0628746994230706,1,,,,,,,,
,,,,,0.0635064967831462,1,,,,,,,,
,,,,,0.0638939039515829,1,,,,,,,,
,,,,,0.0659536507921384,1,,,,,,,,
,,,,,0.0662464162105589,1,,,,,,,,
,,,,,0.0666916484510088,1,,,,,,,,
,,,,,0.0673780865187553,1,,,,,,,,
,,,,,0.0677556687141927,1,,,,,,,,
