CNPJ_CIA,SETOR_ATIV,ANO,Distribuição_do_Valor_Adicionado,Impostos_Taxas_e_Contribuições,Outros,Pessoal,Receitas,Remuneração_de_Capitais_de_Terceiros,Remuneração_de_Capitais_Próprios,Valor_Adicionado_Bruto,Valor_Adicionado_Líquido_Produzido,Valor_Adicionado_Total_a_Distribuir,VAB_Receitas,VALP_Receitas,DVA_Receitas,Pessoal_Receitas,Impostos_Receitas,Cap_Terceiros_Receitas,Cap_Proprio_Receitas,Outros_Receitas,Pessoal_DVA,Impostos_DVA,Cap_Terceiros_DVA,Cap_Proprio_DVA,Outros_DVA
53.790.218/0001-53,Telecomunicações,2016,-18621,7582,0,4866,-90,26973,-58042,-3604,-29103,-18621,40.0444444444444,323.366666666667,206.9,-54.0666666666667,-84.2444444444444,-299.7,644.911111111111,0,-0.26131786692444,-0.407174695236561,-1.44852585790237,3.11701842006337,0
76.627.504/0001-06,"Máquinas, Equipamentos, Veículos e Peças",2022,-47980,11693,0,11256,-995,295637,-366566,-37450,-45186,-47980,37.6381909547739,45.4130653266332,48.2211055276382,-11.3125628140704,-11.7517587939698,-297.122613065327,368.408040201005,0,-0.234597749062109,-0.243705710712797,-6.16167152980409,7.63997498957899,0
46.014.635/0001-49,"Construção Civil, Mat. Constr. e Decoração",2016,9984,58,0,6612,-1145,21308,-17994,-1762,-1962,9984,1.53886462882096,1.71353711790393,-8.71965065502183,-5.77467248908297,-0.0506550218340611,-18.6096069868996,15.7152838427948,0,0.662259615384615,0.00580929487179487,2.13421474358974,-1.80228365384615,0
07.820.907/0001-46,"Construção Civil, Mat. Constr. e Decoração",2018,-10025,1197,0,3439,-608,7330,-21991,-14561,-14652,-10025,23.9490131578947,24.0986842105263,16.4884868421053,-5.65625,-1.96875,-12.0559210526316,36.1694078947368,0,-0.343042394014963,-0.119401496259352,-0.731172069825436,2.19361596009975,0
09.112.685/0001-32,Sem Setor Principal,2016,-904258,2444,0,6834,-1572,532319,-1445855,-887878,-891766,-904258,564.807888040712,567.281170483461,575.227735368957,-4.34732824427481,-1.55470737913486,-338.625318066158,919.755089058524,0,-0.00755757759400525,-0.00270276845767469,-0.588680442970922,1.5989407890226,0
07.820.907/0001-46,"Construção Civil, Mat. Constr. e Decoração",2016,-22776,23746,0,4245,-1252,413,-51180,-28360,-28561,-22776,22.6517571884984,22.8123003194888,18.1916932907348,-3.3905750798722,-18.9664536741214,-0.329872204472843,40.8785942492013,0,-0.186380400421496,-1.04258868984896,-0.0181331225851774,2.24710221285564,0
11.995.753/0001-09,Sem Setor Principal,2011,-91047,-497,0,-42252,18656,-9031,-39267,-78338,-78551,-91047,-4.19907804459691,-4.21049528301887,-4.88030660377358,-2.26479416809606,-0.0266402229845626,-0.484080188679245,-2.10479202401372,0,0.464068008830604,0.00545871912309027,0.0991905279690709,0.431282744077235,0
46.014.635/0001-49,"Construção Civil, Mat. Constr. e Decoração",2017,8224,545,0,2790,-1547,27066,-22177,-1559,-1778,8224,1.00775694893342,1.14932126696833,-5.31609566903685,-1.80349062702004,-0.35229476405947,-17.4957983193277,14.3354880413704,0,0.339250972762646,0.0662694552529183,3.29109922178988,-2.69661964980545,0
46.014.635/0001-49,"Construção Civil, Mat. Constr. e Decoração",2018,19259,397,451,2951,-1723,13064,2396,-1760,-1772,19259,1.02147417295415,1.02843876958793,-11.1775972141613,-1.71271038885665,-0.230412071967499,-7.5821242019733,-1.3905977945444,-0.261752756819501,0.153227062671998,0.0206137390311023,0.678332208318189,0.124409367049172,0.0234176229295394
08.773.191/0001-36,Energia Elétrica,2017,188411,50792,90479,2806,-2354,7823,36511,188553,164889,188411,-80.0989804587935,-70.0463041631266,-80.0386576040782,-1.19201359388275,-21.5768903993203,-3.3232795242141,-15.5101954120646,-38.4362786745964,0.0148929733401978,0.269580863113088,0.0415209303066169,0.193783802431917,0.48022143080818
92.929.520/0001-00,"Máquinas, Equipamentos, Veículos e Peças",2017,-13655,898,0,4609,-5223,1899,-21061,-5223,-5881,-13655,1,1.12598123683707,2.61439785563852,-0.882443040398239,-0.171931839938733,-0.36358414704193,4.03235688301742,0,-0.337532039545954,-0.0657634566093006,-0.139069937751739,1.54236543390699,0
67.571.414/0001-41,"Construção Civil, Mat. Constr. e Decoração",2016,-179886,-857,0,10492,-17782,159076,-348597,-190293,-194265,-179886,10.7014396580812,10.9248116072433,10.1161849060848,-0.590034866719154,0.0481948037341131,-8.94590034866719,19.603925317737,0,-0.0583258285803231,0.00476412839242631,-0.884315622116229,1.93787732230413,0
61.065.751/0001-80,"Construção Civil, Mat. Constr. e Decoração",2019,-127769,3764,0,13996,-28112,165835,-311364,-236697,-251051,-127769,8.41978514513375,8.93038560045532,4.54499857712009,-0.497865680136596,-0.133892999430848,-5.89908224245874,11.0758394991463,0,-0.109541438064006,-0.0294594150380765,-1.29792829246531,2.43692914556739,0
17.159.005/0001-64,Têxtil e Vestuário,2010,-2747,66,0,433,-1375,5175,-8421,-4827,-5421,-2747,3.51054545454545,3.94254545454545,1.99781818181818,-0.314909090909091,-0.048,-3.76363636363636,6.12436363636364,0,-0.157626501638151,-0.0240262104113578,-1.8838733163451,3.06552602839461,0
76.627.504/0001-06,"Máquinas, Equipamentos, Veículos e Peças",2019,-271731,18662,0,33697,-130561,139981,-464071,-261646,-273846,-271731,2.00401344965189,2.09745636139429,2.08125703694059,-0.258093917785556,-0.142937017945635,-1.07215018267323,3.55443815534501,0,-0.124008670339417,-0.0686782148521884,-0.515145493153155,1.70783237834476,0
08.943.312/0001-40,Bolsas de Valores/Mercadorias e Futuros,2012,633672,2678,0,2029,-26112,530451,98514,291139,280401,633672,-11.1496246936275,-10.7383961397059,-24.2674632352941,-0.077703737745098,-0.102558210784314,-20.314453125,-3.77274816176471,0,0.00320197199813153,0.00422616116855408,0.837106578797864,0.155465288035451,0
67.571.414/0001-41,"Construção Civil, Mat. Constr. e Decoração",2019,-155164,-654,0,11052,-145646,54772,-220334,-147559,-150691,-155164,1.01313458660039,1.03463878170358,1.06535023275613,-0.0758826195020804,0.00449033959051399,-0.376062507724208,1.51280502039191,0,-0.071227862132969,0.00421489520765126,-0.352994251243845,1.42000721816916,0
08.943.312/0001-40,Bolsas de Valores/Mercadorias e Futuros,2011,-150502,2827,0,12667,-180903,418392,-584388,-376911,-386475,-150502,2.08349778610637,2.13636589774631,0.831948613345273,-0.0700209504541108,-0.0156271593063686,-2.31279746604534,3.23039418915109,0,-0.0841649944851231,-0.0187838035374945,-2.77997634582929,3.88292514385191,0
06.977.751/0001-49,Sem Setor Principal,2022,-1654832,-435409,0,65390,-1037427,238427,-1523240,-1845296,-1847352,-1654832,1.7787237077886,1.78070553397974,1.59513103090627,-0.0630309409722323,0.419700856060234,-0.229825327468824,1.46828644328709,0,-0.0395145851663492,0.263113717887979,-0.144079278138204,0.920480145416574,0
08.560.444/0001-93,Energia Elétrica,2015,-421533,26670,0,26154,-429215,143807,-618164,-455240,-458528,-421533,1.06063394802139,1.06829444450916,0.982102209848211,-0.0609344966974593,-0.062136691401745,-0.335046538448097,1.44021993639551,0,-0.0620449644511818,-0.0632690679021571,-0.341152412741114,1.46646644509445,0
08.560.444/0001-93,Energia Elétrica,2014,-498336,11188,0,25279,-484684,78249,-613052,-513741,-517167,-498336,1.05995040067343,1.06701892366986,1.0281668055888,-0.0521556312979178,-0.0230830809352073,-0.161443332150432,1.26484884997235,0,-0.0507268188531433,-0.0224507159827907,-0.157020564438451,1.23019809927439,0
42.500.384/0001-51,Energia Elétrica,2021,794368,137891,0,-12137,239481,70383,598231,823457,788285,794368,3.43850660386419,3.29163900267662,3.31703976515882,-0.0506804297626952,0.57579098133046,0.293898054542949,2.49803115904811,0,-0.0152788128424106,0.173585793989687,0.088602511682243,0.75309050717048,0
08.560.444/0001-93,Energia Elétrica,2012,-742383,17287,0,19510,-708829,18144,-797324,-727100,-745950,-742383,1.02577631558528,1.05236947133935,1.04733722801973,-0.0275242688998334,-0.0243881105315951,-0.025597146843597,1.12484675429476,0,-0.0262802354040973,-0.0232858241635382,-0.0244402148217295,1.07400627438937,0
61.065.751/0001-80,"Construção Civil, Mat. Constr. e Decoração",2022,-348251,-6400,0,5906,-231055,94287,-442044,-348056,-349369,-348251,1.50637726948129,1.51205989915821,1.5072212243838,-0.0255610136114778,0.0276990326978425,-0.408071671247106,1.91315487654455,0,-0.0169590324220175,0.0183775495260602,-0.270744376900569,1.26932585979653,0
09.112.685/0001-32,Sem Setor Principal,2013,-2171798,89765,0,-14046,615683,152325,-2399842,-2250869,-2278543,-2171798,-3.65588947559052,-3.70083793120811,-3.52746137216717,-0.0228136882129278,0.145797431470416,0.247408162966981,-3.89785327839164,0,0.00646745231370505,-0.0413321128392235,-0.0701377384084523,1.10500239893397,0
34.274.233/0001-02,Comércio (Atacado e Varejo),2020,22572000,18641000,0,-1026000,103851000,1052000,3905000,21689000,21152000,22572000,0.208847290830132,0.203676421026278,0.217349857006673,-0.00987953895484877,0.179497549373622,0.0101298976418138,0.0376019489460862,0,-0.0454545454545455,0.825846181109339,0.0466064150274677,0.173001949317739,0
00.359.742/0001-08,Sem Setor Principal,2018,7610,531,0,0,7974,0,7079,5876,5876,7610,0.736894908452471,0.736894908452471,0.954351642839227,0,0.0665914221218962,0,0.887760220717331,0,0,0.0697766097240473,0,0.930223390275953,0
00.359.742/0001-08,Sem Setor Principal,2019,2200,87,0,0,9454,0,2113,2456,2456,2200,0.259784218320288,0.259784218320288,0.232705733023059,0,0.00920245398773006,0,0.223503279035329,0,0,0.0395454545454545,0,0.960454545454545,0
00.416.968/0001-01,Bancos,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02.762.113/0001-50,Crédito Imobiliário,2015,16485,6428,0,0,17206,0,10057,16485,16485,16485,0.958096013018714,0.958096013018714,0.958096013018714,0,0.373590607927467,0,0.584505405091247,0,0,0.389930239611768,0,0.610069760388232,0
02.762.113/0001-50,Crédito Imobiliário,2021,20007,7720,12287,0,20385,0,0,20007,0,20007,0.981456953642384,0,0.981456953642384,0,0.378709835663478,0,0,0.602747117978906,0,0.385864947268456,0,0,0.614135052731544
03.559.006/0001-91,Securitização de Recebíveis,2010,19532,4577,0,0,33504,5751,9204,13101,13101,19532,0.391027936962751,0.391027936962751,0.582975167144222,0,0.136610553963706,0.171651146131805,0.274713467048711,0,0,0.234333401597379,0.294439893508089,0.471226704894532,0
05.330.331/0001-03,Sem Setor Principal,2010,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
05.330.331/0001-03,Sem Setor Principal,2011,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
05.721.582/0001-19,Telecomunicações,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
07.857.850/0001-50,Bolsas de Valores/Mercadorias e Futuros,2021,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
08.140.464/0001-05,Securitização de Recebíveis,2010,94046,26496,0,0,56889,23766,43784,55,45465,94046,0.000966794986728542,0.799187892211148,1.65314911494313,0,0.465749090333808,0.417760902810737,0.76963912179859,0,0,0.281734470365566,0.25270612253578,0.465559407098654,0
10.753.164/0001-43,Securitização de Recebíveis,2010,-820,-47,0,0,1560,-3,-770,-820,-820,-820,-0.525641025641026,-0.525641025641026,-0.525641025641026,0,-0.0301282051282051,-0.00192307692307692,-0.493589743589744,0,0,0.0573170731707317,0.00365853658536585,0.939024390243902,0
