CNPJ_CIA;SETOR_ATIV;ANO;Distribuição_do_Valor_Adicionado;Impostos_Taxas_e_Contribuições;Outros;Pessoal;Receitas;Remuneração_de_Capitais_de_Terceiros;Remuneração_de_Capitais_Próprios;Valor_Adicionado_Bruto;Valor_Adicionado_Líquido_Produzido;Valor_Adicionado_Total_a_Distribuir
00.000.000/0001-91;Bancos;2010;70435305.8881348;20816309.3717235;0;25918459.2810373;184618103.849547;1250858.3437702;22449678.8916038;77892768.185577;70528983.1079618;70435305.8881348
00.000.000/0001-91;Bancos;2011;74427407.7539451;18220039.2007188;0;31076708.5394226;235965460.673858;1334869.65610173;23795790.357702;82005596.9752724;74146812.7533509;74427407.7539451
00.000.000/0001-91;Bancos;2012;68763622.2244674;15585155.5480966;0;31434132.8737216;222148003.581233;1525327.47943781;20219006.3232115;76378218.2278118;68682441.8057483;68763622.2244674
00.000.000/0001-91;Bancos;2013;61323383.2496979;9364780.0552797;0;31453742.6925908;191874655.089716;1636691.09924049;18868169.4025869;63670490.0091576;57485991.7690896;61323383.2496979
00.000.000/0001-91;Bancos;2014;62467206.6123548;10009955.4916407;0;29678244.4685128;231270347.450648;1784623.05067922;20994383.601522;63237819.590327;56884582.2355838;62467206.6123548
00.000.000/0001-91;Bancos;2015;54849992.6680051;-29435.7194135696;0;30456071.5378918;275195498.904071;1865673.44964187;22557683.399885;54066755.5085889;48577341.5264218;54849992.6680051
00.000.000/0001-91;Bancos;2016;54649554.5769965;10617066.6210442;0;30429894.0869735;225866423.638943;1950854.74836073;11651739.1206181;54375632.4906826;49321406.0990245;54649554.5769965
00.000.000/0001-91;Bancos;2017;56925312.0206002;11946962.9515157;0;26881910.7122596;192320830.370109;2046671.91870371;16049766.4381212;56700747.662796;52020967.0268732;56925312.0206002
00.000.000/0001-91;Bancos;2018;60453536.431447;13120169.6893522;0;26596847.9522329;174113167.738825;1713622.8449233;19022895.9449387;59840524.3721525;55991876.315682;60453536.431447
00.000.000/0001-91;Bancos;2019;47185095.7794585;-3322180.55356957;0;27580567.2954831;166960662.935071;75974.2685132256;22850734.7690317;47114913.9440288;42292240.3775416;47185095.7794585
00.000.000/0001-91;Bancos;2020;44586336.2787122;3998860.18897716;0;25122668.784421;119334208.065466;66988.57239198;15397818.7329221;46778020.1356646;41896737.7416481;44586336.2787122
00.000.000/0001-91;Bancos;2021;56331629.4564;10554955.3602;0;24856154.6994;152057448.7848;81333.8982;20839185.4986;57290679918;53070175746;56331629.4564
00.000.000/0001-91;Bancos;2022;71398819;15444852;0;25976878;256688814;127754;29849335;70261784;66287668;71398819
00.000.208/0001-00;Bancos;2010;1604595.57093066;456307.237919925;0;625601.982430361;2781161.27086442;0;522686.35058037;1642735.05690208;1574522.56339941;1604595.57093066
00.000.208/0001-00;Bancos;2011;1336362.39138863;397958.743676897;0;721357.321440291;2698828.03362654;0;217046.326271447;1394808.86287221;1360167.68929311;1336362.39138863
00.000.208/0001-00;Bancos;2012;1745012.21015089;491547.656303733;0;893062.383557428;2906761.00950172;0;360402.170289728;1768299.54463551;1734971.8230344;1745012.21015089
00.000.208/0001-00;Bancos;2013;1891417.63888688;548204.513462054;0;990169.75972108;3165379.60313266;0;353043.365703741;1932632.71825631;1891417.63888688;1891417.63888688
00.000.208/0001-00;Bancos;2014;1828463.69818815;515415.536685783;0;956086.104933466;3473587.77207162;0;356962.056568902;1877233.74379662;1828463.69818815;1828463.69818815
00.000.208/0001-00;Bancos;2015;1497791.92545313;346564.723066977;0;935578.965865502;3340622.17164226;0;215648.236520649;1541406.48036399;1497791.92545313;1497791.92545313
00.000.208/0001-00;Bancos;2016;1700760.69060833;392598.020535511;0;1052955.59021111;3466978.82847302;25870.5463410193;229336.533520692;1758652.21067503;1700760.69060833;1700760.69060833
00.000.208/0001-00;Bancos;2017;1825449.49087193;518590.128641621;0;993941.750167885;3206443.21516575;26487.0177545482;286430.594307872;1890967.53113653;1825449.49087193;1825449.49087193
00.000.208/0001-00;Bancos;2018;2054943.21431231;493406.685509445;0;1128065.56094868;3199928.2707482;24655.4550053314;408815.512848847;2134298.9014115;2054943.21431231;2054943.21431231
00.000.208/0001-00;Bancos;2019;2084960.15711457;379676.567769462;0;1196197.9208019;2409971.54499488;4430.21928814382;504655.449255064;2185743.41168513;2084960.15711457;2084960.15711457
00.000.208/0001-00;Bancos;2020;2065781.57406156;429344.95917816;0;1182846.21971526;2445367.26737466;6157.79168328;447432.60348486;2193431.80797756;2065781.57406156;2065781.57406156
00.000.208/0001-00;Bancos;2021;2194736.7654;305550.7578;397176.9966;1230683.3028;2341914.8058;11660.6376;249665.0706;2333748.3444;2194736.7654;2194736.7654
00.000.208/0001-00;Bancos;2022;1299969;192952;0;1012055;1769378;4060;90902;1456135;1299969;1299969
00.001.180/0001-26;Energia Elétrica;2010;31661251.6492033;8433285.70628466;0;10212739.7267518;61606576.0234391;7944160.35539041;5071065.86077641;29829815.4221911;23628449.4157357;31661251.6492033
00.001.180/0001-26;Energia Elétrica;2011;33099536.7325793;7633889.35880362;0;10370420.6350146;63984894.9171147;8066818.08883871;7028408.64992238;27455117.8841443;24234462.1018446;33099536.7325793
00.001.180/0001-26;Energia Elétrica;2012;10889112.7060944;5808553.08798506;0;10105380.9463319;69970939.8864021;7217473.94545416;-12242295.2736767;5535161.12456769;2397161.86847377;10889112.7060944
00.001.180/0001-26;Energia Elétrica;2013;15016064.5782222;8101185.7919678;0;11115074.6149063;47110777.8873272;6315215.17616938;-10515411.0048213;11022186.4995749;8514182.31461146;15016064.5782222
00.001.180/0001-26;Energia Elétrica;2014;21219099.9609756;9561361.38402845;0;8825589.32259503;56053704.1010821;7493289.28903843;-4661140.03468628;17739385.4489744;14943024.2856443;21219099.9609756
00.001.180/0001-26;Energia Elétrica;2015;28487692.201192;12898727.9633901;0;8574190.27610849;61721307.6566458;28366783.7164584;-21352009.754765;4726238.51849488;2095229.22470669;28487692.201192
00.001.180/0001-26;Energia Elétrica;2016;58710102.7966082;21796819.9796869;0;8811314.05801744;95516516.7237842;23374743.0051831;4727225.75372085;41899492.5592042;39418620.5934593;58710102.7966082
00.001.180/0001-26;Energia Elétrica;2017;32061039.2297959;10006002.4491647;0;10096313.0074795;59451165.1824612;14215037.7308901;-2256313.95773838;24095526.9133766;21805725.6667287;32061039.2297959
00.001.180/0001-26;Energia Elétrica;2018;53712778.1576537;12195368.8290328;0;8221079.20672938;57685631.552102;16465634.8754487;16830695.2464428;37347981.8612863;35011783.8736152;53712778.1576537
00.001.180/0001-26;Energia Elétrica;2019;35419343.1057205;4473765.36768417;0;6529776.66697623;43686639.1957808;11418100.2279719;12997700.8430882;28025506.7277305;25838912.8397593;35419343.1057205
00.001.180/0001-26;Energia Elétrica;2020;24451273.7296954;5653101.81062574;0;5493885.36505416;44772223.7463883;5905538.83582398;7398747.71819154;21020991.0812618;18863135.6946478;24451273.7296954
00.001.180/0001-26;Energia Elétrica;2021;29921277.4398;10643177.2338;2136750.5574;5571498.2904;52508247.3378;5532826.7304;6037024.6278;27120937.7052;24921668.1258;29921277.4398
