ANO,CNPJ_CIA,SETOR_ATIV,Receitas,VAB,VALP,VATD,Distribuição,Pessoal,Governo,RCT,RCP,Outros,Dist_Relat
2020,09.527.023/0001-23,Saneamento Serv. Água e Gás,4375,2518,2474,3149,3149,2486,569,659,-565,0,0.987291501191422
2020,02.762.115/0001-49,Extração Mineral,3795,391,391,16256,16256,386,2393,94525,-81048,0,0.987212276214834
2021,03.802.115/0001-98,Comunicação e Informática,524249,299220,284051,313669,313669,295281,77843,15062,-74517,0,0.986835773009826
2013,04.821.041/0001-08,Máquinas Equipamentos Veículos e Peças,977574,134363,110867,200189,200189,131369,-35617,123229,-18792,0,0.977717079850852
2020,14.308.514/0001-13,Sem Setor Principal,37436,33528,33521,34558,34558,32759,8144,459,-6804,0,0.977063946552136
2018,08.773.191/0001-36,Energia Elétrica,50814,33075,8889,24814,24814,32235,18344,58477,-84242,0,0.974603174603175
2015,61.065.751/0001-80,Construção Civil Mat. Constr. e Decoração,1234749,142489,111197,162660,162660,137491,79199,497141,-551171,0,0.964923608138172
2023,89.463.822/0001-12,Máquinas Equipamentos Veículos e Peças,195911,43341,36844,201248,201248,41624,25764,81211,52649,0,0.960383932073556
2015,21.255.567/0001-89,Têxtil e Vestuário,414571,79995,69105,81382,81382,76756,-2974,28651,-21051,0,0.959509969373086
2016,08.613.550/0001-98,Construção Civil Mat. Constr. e Decoração,125911,50381,38150,54491,54491,48209,31527,102485,-127730,0,0.956888509557174
2022,22.677.520/0001-76,Têxtil e Vestuário,1813098,414862,308521,460679,460679,396265,245886,487941,-669413,0,0.955173045494646
2022,03.802.115/0001-98,Comunicação e Informática,556161,357431,326696,403523,403523,339544,78638,22402,-37061,0,0.949956774874032
2011,00.924.429/0001-75,Serviços Transporte e Logística,1233175,248217,127164,141984,141984,235546,74386,7248,-175196,0,0.948951925130027
2009,76.627.504/0001-06,Máquinas Equipamentos Veículos e Peças,1385997,328432,300274,741564,741564,311391,146392,347485,-63704,0,0.948114069274614
2012,86.550.951/0001-50,Agricultura (Açúcar Álcool e Cana),51529,22825,15074,16217,16217,21640,-3149,17109,-23035,3652,0.948083242059146
2018,82.636.986/0001-55,Têxtil e Vestuário,201919,55263,49164,73351,73351,52364,14824,131776,-125613,0,0.947541754881204
2010,08.723.106/0001-25,Hospedagem e Turismo,124503,30991,18862,39988,39988,29359,5614,12778,-7763,0,0.947339550191991
2016,62.144.175/0001-20,Bancos,1154069,105207,103170,103170,103170,99099,22793,9792,-28514,0,0.941943026604694
2018,30.540.991/0001-66,Metalurgia e Siderurgia,35110.42,8736.51,7125.04,19929.17,19929.17,8222.27,5012.86,728.45,5965.59,0,0.941138967390869
2010,05.799.312/0001-20,Agricultura (Açúcar Álcool e Cana),450999,28081,16751,30744,30744,26424,9535,17427,-22642,0,0.940992129909903
2017,82.636.986/0001-55,Têxtil e Vestuário,176393,61262,54956,88972,88972,57501,17684,182146,-168359,0,0.938607946198296
2016,42.331.462/0001-31,Sem Setor Principal,235321,29484,27079,79124,79124,27469,8750,40704,2201,0,0.931657848324515
2018,01.971.614/0001-83,Têxtil e Vestuário,1802,959,523,44848,44848,893,3320,11269,29366,0,0.931178310740355
2017,89.723.993/0001-33,Construção Civil Mat. Constr. e Decoração,172800,18724,14155,81724,81724,17417,41417,66772,-43882,0,0.930196539201025
2017,88.611.835/0001-29,Máquinas Equipamentos Veículos e Peças,3136424,798799,753367,1132243,1132243,740716,12163,297252,82112,0,0.927287089743477
2015,60.851.615/0001-53,Máquinas Equipamentos Veículos e Peças,518398,143807,127177,176830,176830,133058,35599,17131,-8958,0,0.925253986245454
2019,14.807.945/0001-24,Petroquímicos e Borracha,608706,156274,138655,132796,132796,144488,85362,87901,-184955,0,0.924581184330087
2009,76.255.926/0001-90,Alimentos,598627,47606,26573,42190,42190,44011,-47078,34288,10969,0,0.924484308700584
2017,14.807.945/0001-24,Petroquímicos e Borracha,517424,141453,126090,129922,129922,130201,72028,91325,-163632,0,0.920454143779206
2018,61.092.037/0001-81,Construção Civil Mat. Constr. e Decoração,666855,153206,139581,155959,155959,140850,91848,72628,-149367,0,0.919350417085493
2016,33.467.572/0001-34,Metalurgia e Siderurgia,149552,37732,29837,34643,34643,34676,14006,1039,-15078,0,0.919007738789357
2012,78.588.415/0001-15,Alimentos,777103,76183,56928,140974,140974,69963,-60953,118273,13691,0,0.918354488534187
2015,04.821.041/0001-08,Máquinas Equipamentos Veículos e Peças,1218748,171919,139518,167734,167734,157831,-57217,168524,-101404,0,0.918054432610706
2017,73.178.600/0001-18,Construção Civil Mat. Constr. e Decoração,2645374,261072,194537,538333,538333,239632,141320,167923,-10542,0,0.917877060734204
2015,08.684.547/0001-65,Extração Mineral,3894537,801106,622663,932626,932626,730723,436916,825434,-1060447,0,0.912142712699693
2023,08.764.621/0001-53,Comércio (Atacado e Varejo),182245,25407,23319,402408,402408,23098,-57330,343475,93165,0,0.909119533986697
2023,03.802.115/0001-98,Comunicação e Informática,546361,357977,313603,372216,372216,324311,51098,24812,-28005,0,0.905954851848024
2017,33.467.572/0001-34,Metalurgia e Siderurgia,162926,38998,32508,37524,37524,35305,16124,1031,-14936,0,0.905302836042874
2015,60.500.139/0001-26,Comércio (Atacado e Varejo),1909811,272952,472856,493417,493417,244338,-16089,171454,93714,0,0.895168381253847
2020,04.069.709/0001-02,Comunicação e Informática,98623,56557,53587,57245,57245,50572,7234,2311,-2872,0,0.894177555386601
2023,18.174.270/0001-84,Comunicação e Informática,159519,86774,85666,85666,85666,77555,35762,32852,-60503,0,0.893758499089589
2020,08.769.451/0001-08,Securitização de Recebíveis,20535,5314,4863,10415,10415,4747,793,5299,-424,0,0.893300715092209
2016,43.470.988/0001-65,Construção Civil Mat. Constr. e Decoração,1791327,160283,148398,314792,314792,142699,96022,36179,39892,0,0.890294042412483
2013,92.825.900/0001-96,Máquinas Equipamentos Veículos e Peças,148289,36343,27580,40805,40805,32234,27509,105286,-135763,11539,0.886938337506535
2012,60.851.615/0001-53,Máquinas Equipamentos Veículos e Peças,519429,142847,121799,150557,150557,126190,35637,13914,-25184,0,0.883392720883183
2010,60.730.348/0001-66,Papel e Celulose,119168,22073,17481,18604,18604,19487,10889,13996,-25768,0,0.882843292710551
2009,13.788.120/0001-47,Petroquímicos e Borracha,712689,53572,29020,49408,49408,47278,615,-664,2179,0,0.882513253191966
2010,11.395.624/0001-71,Farmacêutico e Higiene,175393,25268,19499,25325,25325,22251,21400,12438,-30764,0,0.880599968339402
2015,84.683.671/0001-94,Metalurgia e Siderurgia,198069,72474,62024,63753,63753,63730,37564,33036,-70577,0,0.879349835803185
