ANO,SETOR_ATIV,Receitas,Distribuição,Pessoal,Governo,RCT,RCP
2009,Agricultura (Açúcar Álcool e Cana),1178774,335927,117000,29302,231024,-41399
2009,Alimentos,73402223.23,18470358.17,7853605.51,4258166.14,5262482.22,955376.3
2009,Arrendamento Mercantil,153.5,81.77,34.17,14.23,34.93,-1.56
2009,Bancos,182556121,73327281,23903107,23378247,1564789,24481138
2009,Bebidas e Fumo,44284500,28014124,3168708,15950457,1421709,7473250
2009,Bolsas de Valores/Mercadorias e Futuros,10011386,3014123,699871,499995,1363893,25878
2009,Brinquedos e Lazer,624247,266992,86122,69092,172419,-60641
2009,Comunicação e Informática,9577223.98,4721504.24,2430077.5,1272697.23,431838.04,581268.47
2009,Comércio (Atacado e Varejo),67853607.66,20211654.83,4860226.94,7421387.98,4173786.29,3752188.62
2009,Construção Civil Mat. Constr. e Decoração,35481861.19,13334980.96,2867779.19,3516366.52,2184865.28,4765398.97
2009,Crédito Imobiliário,260336,173106,46256,53041,26703,47106
2009,Educação,2603002.37,2010792.55,1121169.53,361914.86,327084.27,200623.89
2009,Embalagens,3223436,1218105,307115,363510,308716,238764
2009,Energia Elétrica,185150055,106363798,13337644,52557618,20754438,17840321
2009,Extração Mineral,83388196,26418782,6861905,7124128,-150526,12583275
2009,Farmacêutico e Higiene,9649611,4280483,983759,1629247,305491,1361986
2009,Gráficas e Editoras,1184729,594865,197563,218164,66771,112367
2009,Hospedagem e Turismo,226527,117406,49346,26865,44961,-3447
2009,Intermediação Financeira,46395675,17512082,4293695,6808449,377455,6032483
2009,Metalurgia e Siderurgia,114127029.46,34673219.61,11010733.59,11155373.88,4471645.58,7337848.56
2009,Máquinas Equipamentos Veículos e Peças,41499240.6,15183643.82,5666177.18,4310397.82,2938207.42,2239690.4
2009,Papel e Celulose,24203893,12251352,1996801,2599834,2924377,4730340
2009,Petroquímicos e Borracha,32453879,4760203,1242789,3054766,907528,-444880
