ANO,CD_CONTA,DS_CONTA,VALOR,PERCENTUAL
2009,1.0.0,Receitas,1727510801.7,100
2009,2.0.0,VAB,791986395.11,45.8455249212119
2009,3.0.0,VALP,666152520.8,38.5614098704596
2009,4.0.0,VATD,733832783.22,42.4792008534971
2009,5.0.0,Distribuição,733832783.22,42.4792008534971
2009,5.1.0,Pessoal,141394627.91,19.2679628306563
2009,5.2.0,Governo,319589272.29,43.5506943268012
2009,5.3.0,RCT,100682640.58,13.7201066622034
2009,5.4.0,RCP,166756868.43,22.7240963122803
2009,5.5.0,Outros,5409374.01,0.737139868058783
2010,1.0.0,Receitas,2103476228.12,100
2010,2.0.0,VAB,947923000.84,45.064592989825
2010,3.0.0,VALP,822584080.71,39.1059366259248
2010,4.0.0,VATD,887621574.45,42.197841961985
2010,5.0.0,Distribuição,887621574.45,42.197841961985
2010,5.1.0,Pessoal,178295790.17,20.0869148860513
2010,5.2.0,Governo,368299604.55,41.4928630794278
2010,5.3.0,RCT,125584370.96,14.1484135328522
2010,5.4.0,RCP,208426811.77,23.4814945658738
2010,5.5.0,Outros,7014997,0.790313935794849
2011,1.0.0,Receitas,2343891859.32,100
2011,2.0.0,VAB,971364150.43,41.4423620512854
2011,3.0.0,VALP,856708616.45,36.550688678041
2011,4.0.0,VATD,951629829.51,40.6004153189082
2011,5.0.0,Distribuição,951629829.51,40.6004153189082
2011,5.1.0,Pessoal,198249565.66,20.83263465607
2011,5.2.0,Governo,371484222.49,39.0366307329058
2011,5.3.0,RCT,169447728.19,17.80605472164
2011,5.4.0,RCP,203213115.17,21.3542187170232
2011,5.5.0,Outros,9235198,0.970461172361028
2012,1.0.0,Receitas,2418202561.33,100
2012,2.0.0,VAB,919267503.62,38.0144954901713
2012,3.0.0,VALP,802792086.99,33.1978842396258
2012,4.0.0,VATD,878812922.38,36.3415760297871
2012,5.0.0,Distribuição,878812922.38,36.3415760297871
2012,5.1.0,Pessoal,218279711.81,24.8380179957818
2012,5.2.0,Governo,359036299.48,40.8546904963184
2012,5.3.0,RCT,170022595,19.3468473972305
2012,5.4.0,RCP,127521750.09,14.5106821762072
2012,5.5.0,Outros,3952566,0.449761934462191
2013,1.0.0,Receitas,2421525668.65,100
2013,2.0.0,VAB,945019016.4,39.0257691105479
2013,3.0.0,VALP,816424290.44,33.7152854091015
2013,4.0.0,VATD,880254312.25,36.3512278084065
2013,5.0.0,Distribuição,880254312.25,36.3512278084065
2013,5.1.0,Pessoal,225935912.37,25.6671179255561
2013,5.2.0,Governo,357833827.71,40.6511871319719
2013,5.3.0,RCT,197516765.33,22.4386024108341
2013,5.4.0,RCP,89480048.84,10.1652497005419
2013,5.5.0,Outros,9487758,1.077842831096
2014,1.0.0,Receitas,2648212151.18,100
2014,2.0.0,VAB,941670183.97,35.5587139629432
2014,3.0.0,VALP,798396107.97,30.1484949993243
2014,4.0.0,VATD,916711325,34.6162343750114
2014,5.0.0,Distribuição,916711325,34.6162343750114
2014,5.1.0,Pessoal,240461035.22,26.2308350145014
2014,5.2.0,Governo,354467959.2,38.6673481098316
2014,5.3.0,RCT,214639980.74,23.4141299323427
2014,5.4.0,RCP,103302534.83,11.2688184396544
2014,5.5.0,Outros,3839815,0.418868502579043
2015,1.0.0,Receitas,2839364887.79,100
2015,2.0.0,VAB,965166505.79,33.9923378619093
2015,3.0.0,VALP,813449469.29,28.6489937516676
2015,4.0.0,VATD,983141946.66,34.6254174969819
2015,5.0.0,Distribuição,983141946.66,34.6254174969819
2015,5.1.0,Pessoal,263710127.38,26.8231996687655
2015,5.2.0,Governo,331421576.5,33.7104502178886
2015,5.3.0,RCT,387157329,39.3795962338174
2015,5.4.0,RCP,7802217.79,0.793600335791414
2015,5.5.0,Outros,-6949304,-0.706846455245722
2016,1.0.0,Receitas,2993049652.19,100
2016,2.0.0,VAB,1149807074.24,38.4159037722175
2016,3.0.0,VALP,978361866.92,32.6877927402286
2016,4.0.0,VATD,1112282642.2,37.1621847765255
2016,5.0.0,Distribuição,1112282642.2,37.1621847765255
2016,5.1.0,Pessoal,275001536.21,24.7240697441857
2016,5.2.0,Governo,444233137.9,39.938871744087
2016,5.3.0,RCT,262426701.75,23.5935266625165
2016,5.4.0,RCP,131444224.34,11.817520057673
2016,5.5.0,Outros,-822958,-0.0739882084622178
2017,1.0.0,Receitas,2970754580.34,100
2017,2.0.0,VAB,1216640067.8,40.9539069922348
2017,3.0.0,VALP,1044676830.79,35.1653696910378
2017,4.0.0,VATD,1164609965.28,39.2024966648949
2017,5.0.0,Distribuição,1164609965.28,39.2024966648949
2017,5.1.0,Pessoal,278552818.71,23.9181208313832
2017,5.2.0,Governo,447419551.51,38.4179738151588
2017,5.3.0,RCT,275547309.94,23.6600508457569
2017,5.4.0,RCP,158649268.12,13.6225236645521
2017,5.5.0,Outros,4441017,0.381330843149043
2018,1.0.0,Receitas,3277061525.13,100
2018,2.0.0,VAB,1393945717.94,42.5364524666562
