CNPJ_CIA,DENOM_CIA,CD_CVM,CD_CONTA,DS_CONTA,VL_CONTA,SETOR_ATIV,MUN,UF,ANO
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,1,Receitas,5619989,Petróleo e Gás,RIO DE JANEIRO,RJ,2023
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,2,Valor Adicionado Bruto,2231945,Petróleo e Gás,RIO DE JANEIRO,RJ,2023
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,3,Valor Adicionado Líquido Produzido,1611845,Petróleo e Gás,RIO DE JANEIRO,RJ,2023
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,4,Valor Adicionado Total a Distribuir,2261900,Petróleo e Gás,RIO DE JANEIRO,RJ,2023
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,5,Distribuição do Valor Adicionado,2261900,Petróleo e Gás,RIO DE JANEIRO,RJ,2023
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,5.1,Pessoal,249236,Petróleo e Gás,RIO DE JANEIRO,RJ,2023
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,5.2,"Impostos, Taxas e Contribuições",224897,Petróleo e Gás,RIO DE JANEIRO,RJ,2023
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,5.3,Remuneração de Capitais de Terceiros,1362552,Petróleo e Gás,RIO DE JANEIRO,RJ,2023
12.091.809/0001-55,3R PETROLEUM ÓLEO E GÁS S.A.,25291,5.4,Remuneração de Capitais Próprios,425215,Petróleo e Gás,RIO DE JANEIRO,RJ,2023
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,1,Receitas,9742912,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP,2023
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,2,Valor Adicionado Bruto,4980694,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP,2023
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,3,Valor Adicionado Líquido Produzido,4294781,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP,2023
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,4,Valor Adicionado Total a Distribuir,6085571,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP,2023
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,5,Distribuição do Valor Adicionado,6085571,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP,2023
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,5.1,Pessoal,1101023,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP,2023
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,5.2,"Impostos, Taxas e Contribuições",1511049,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP,2023
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,5.3,Remuneração de Capitais de Terceiros,2122209,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP,2023
08.827.501/0001-58,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,23396,5.4,Remuneração de Capitais Próprios,1351290,"Saneamento, Serv. Água e Gás",SÃO PAULO,SP,2023
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,1,Receitas,3132313,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE,2023
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,2,Valor Adicionado Bruto,1054064,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE,2023
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,3,Valor Adicionado Líquido Produzido,988877,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE,2023
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,4,Valor Adicionado Total a Distribuir,1113476,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE,2023
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,5,Distribuição do Valor Adicionado,1113476,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE,2023
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,5.1,Pessoal,367351,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE,2023
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,5.2,"Impostos, Taxas e Contribuições",334808,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE,2023
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,5.3,Remuneração de Capitais de Terceiros,517884,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE,2023
12.528.708/0001-07,AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.,25283,5.4,Remuneração de Capitais Próprios,-106567,"Máquinas, Equipamentos, Veículos e Peças",CAUCAIA,CE,2023
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,1,Receitas,7147359,Energia Elétrica,SÃO PAULO,SP,2023
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,2,Valor Adicionado Bruto,2766078,Energia Elétrica,SÃO PAULO,SP,2023
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,3,Valor Adicionado Líquido Produzido,1835318,Energia Elétrica,SÃO PAULO,SP,2023
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,4,Valor Adicionado Total a Distribuir,2350722,Energia Elétrica,SÃO PAULO,SP,2023
37.663.076/0001-07,AES BRASIL ENERGIA S.A.,25640,5,Distribuição do Valor Adicionado,2350722,Energia Elétrica,SÃO PAULO,SP,2023
